yy;mm;dd;aeronautica_6827;aeronautica_6828;aeronautica_6856;aeronautica_6869;aeronautica_6874;aeronautica_6881;aeronautica_6883;aeronautica_6891;aeronautica_6919;aeronautica_6923;calabria_146;calabria_7;calabria_34;calabria_127;calabria_140;calabria_191;calabria_196;calabria_212;calabria_213;calabria_246;calabria_294;calabria_386;sicilia_11806;sicilia_11807;sicilia_11839;sicilia_11842;sicilia_11843;sicilia_11857;sicilia_11864;sicilia_11876;sicilia_11888;sicilia_11933;sicilia_13881;aeronautica_6812
1971;4;3;3.4;0.4;0.2;1.4;0.8;3.4;0;0;0;0;9.9;12.5;21.4;12.3;13.6;1.3;4.6;0.2;0;6.3;11.4;1;9.6;4.4;0;4;4;0;0;10;0;2.6;4;NA
1971;4;4;0.2;0.2;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;NA
1971;4;5;2.4;7.8;4.4;0.8;0;6.8;0;0;6.9;7.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;NA
1971;4;6;4.7;12.6;1.8;1.2;0;0;0;0;0;0;0;21.8;30.4;8.1;8;0.6;3.7;0;0;8.4;10;4;0;0;0;0;1.4;17;0;2.6;0;2.2;0;NA
1971;4;7;0;0;0;0;0.2;0;0;0;0;0;0;2.4;0;0;0;0;0;0;0;1.6;0;0;0;0;12;0;0;1;0;0;0;0;0;NA
1971;4;8;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;NA
1971;4;9;1.2;5.6;0.2;0;16.2;2.6;8.6;1.6;0.1;0.6;6.8;5.9;9.2;0;4.8;14.4;20.1;42.7;34;0;4.3;6.5;15.4;16.2;28.5;8.1;9.6;0;2.1;1.6;9;4;18.4;NA
1971;4;10;0.1;3.2;0.1;4;36.6;0.2;3.2;2.8;6.4;8.4;0.5;6;3.4;8.9;10;7.5;4;6.5;5.1;2.1;1.5;0.2;3.4;4.4;15;20;5.4;0.2;9.8;10.2;1;18.2;1;NA
1971;4;11;0.6;1.4;0.8;1;2;0.2;0;16.2;2.2;2.4;31;11.2;32.2;15.4;31.4;3.4;0.3;14.3;10;3;0;34.5;13.6;17.2;0;12;2.2;0;6.7;4.4;5;16;3.6;NA
1971;4;12;1.6;0.2;0;0;0;0;0;0;0;0;1;0.2;1.8;13.5;0.4;0;2.7;3;6;0;0.7;1.5;0;0;0;0;0;0;0.9;0.4;1;0.6;0;NA
1971;4;13;0.2;0;0;0;0;0;0;0;0;0;0.8;1.1;0.4;9.8;6.8;0;0;0;0;0;1;0;0;0;0;0;0;1.8;0;0;0.2;0;0;NA
1971;4;14;0;0;0;0.2;0;0.2;0;0;0;0;3.8;1.1;1.2;0;6.2;8.7;0.3;0.2;0;4.7;2.4;0;0;0;0;0;0;11.4;3.4;0;13.4;0;0;NA
1971;4;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0.6;0;0;0;0;0.2;NA
1971;4;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
1971;4;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
1971;4;18;0;0;23.2;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;4;0;3.2;0;0;0;NA
1971;4;19;0;0;0;1.8;0;0;0;0;0;0;0.4;11.4;20.6;7.5;0.2;0;0;0;0.9;0.8;0;17;0;0;0;0;0;0;0;0;0;0;0.2;NA
1971;4;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
1971;4;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;NA
1971;4;22;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
1971;4;23;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
1971;4;24;9.8;0;0;0;0;0;0;0;0.2;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
1971;4;25;10;0;0;0;0;0;0;0;0;0;0;0.9;23.4;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;NA
1971;4;26;0;0;0;0;0;0;0;0;0;0;0;2;11.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
1971;4;27;0;0;0;0;0;0.4;0;0.4;0.1;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.5;0;0;0;0;0.6;0;0;0;NA
1971;4;28;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0.4;0;0.3;0.3;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0.2;0;NA
1971;4;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0.2;0;0;0;0;0;NA
1971;4;30;0;0;0.2;0;0;0;0;0;0;0;0.1;0.2;0.8;0;0;0;0;0;0;0;0;1.3;0;0;0;0;0;0;0;0;0;0;0;NA
1971;5;1;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
1971;5;2;0;0;0;2.2;0;4.8;0;9.8;0;0.1;0.1;0;0;0;0;0;3.9;2.1;7;3.1;0;0;0;0;7.5;0;0;0;24.4;4;6.2;0;2.6;NA
