yy;mm;dd;14158_1;14246_1;14271;9573;9317;14444;9068;9101;9167;9177;9191;9192;9230;9244;9287;9289;9310;9404
1961;4;7;0;0;0;0;0.2;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;4;8;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;4;9;0;0.2;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;4;10;0;0;0;0;0;0;NA;0;NA;0.2;NA;NA;0;0;0;NA;NA;0
1961;4;11;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;4;12;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;4;13;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;4;14;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;4;15;5.8;4.8;4.2;3.2;2.6;10;NA;10;NA;4.2;NA;NA;34;16.8;2.7;NA;NA;15.4
1961;4;16;0.6;0.2;3;0.2;7.4;0;NA;0;NA;12.6;NA;NA;13;2;0.5;NA;NA;0.6
1961;4;17;3.6;5.2;3;6;3;9;NA;3.4;NA;2;NA;NA;10;6.1;5.4;NA;NA;7.6
1961;4;18;0;0.6;16;0;0;0;NA;4.6;NA;1.4;NA;NA;0;0;0;NA;NA;0.8
1961;4;19;4.8;13.8;0.4;5.8;4.6;9;NA;0;NA;3.4;NA;NA;0;6.5;8.3;NA;NA;1.8
1961;4;20;0;1.4;0;0;1.4;0;NA;0;NA;8.8;NA;NA;0;0;0;NA;NA;0
1961;4;21;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;4;22;13.2;5.8;10.4;6.8;1.6;7;NA;6;NA;7.6;NA;NA;5;24.2;18.3;NA;NA;11.8
1961;4;23;15.2;20.4;12.2;4.6;8.8;18;NA;14.2;NA;16.6;NA;NA;39;16.9;11.1;NA;NA;4.2
1961;4;24;60.2;32.2;46.6;75.4;21;35;NA;46.6;NA;24.2;NA;NA;57;72.8;76.1;NA;NA;64.8
1961;4;25;8;1.6;7.6;19.4;1;3.2;NA;26;NA;1.4;NA;NA;21;17.2;27.6;NA;NA;20.2
1961;4;26;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;4;27;10.8;4.4;20.6;23.2;12.8;4.6;NA;25.9;NA;12;NA;NA;15;26.5;23;NA;NA;17.4
1961;4;28;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0.2
1961;4;29;0;0.4;0.8;0;0;0;NA;0;NA;0.2;NA;NA;0;0;0;NA;NA;0
1961;4;30;0.8;1.4;1;4.8;10.6;5;NA;0;NA;4.6;NA;NA;0;19.3;3.5;NA;NA;6.4
1961;5;1;0.2;0;0;2.2;0.2;0;NA;4.3;NA;8.2;NA;NA;0;4.1;0;NA;NA;0
1961;5;2;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;5;3;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;5;4;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;5;5;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;5;6;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;5;7;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;5;8;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;5;9;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;5;10;0;0;0;0;0;0;NA;0;NA;0;NA;NA;2.3;0;0;NA;NA;0
1961;5;11;1;1.2;2.8;0.4;2.2;0;NA;0;NA;0.6;NA;NA;0;3.8;0;NA;NA;3.6
1961;5;12;0;0;0;0;0.4;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;5;13;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;5;14;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;5;15;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;5;16;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;5;17;25;25.6;27.2;19.6;19.8;23.4;NA;21.4;NA;25;NA;NA;9;21.4;30.6;NA;NA;11.4
