yy;mm;dd;aeronautica_6709;aeronautica_6721;aeronautica_6729;aeronautica_6768;aeronautica_6769;bolzano_5;bolzano_23;bolzano_102;bolzano_150;bolzano_172;emiliaromagna_9573;emiliaromagna_14158;emiliaromagna_14246;emiliaromagna_14271;emiliaromagna_9177;emiliaromagna_9230;emiliaromagna_9578;friuliveneziagiulia_2;friuliveneziagiulia_7;friuliveneziagiulia_12;friuliveneziagiulia_14;friuliveneziagiulia_15;friuliveneziagiulia_21;friuliveneziagiulia_47;liguria_5884;liguria_14437;lombardia_6031;piemonte_5649;trentino_6510;trentino_6541;trentino_6638;trentino_6576;trentino_6598;trentino_6615;valledaosta_26;valledaosta_44;valledaosta_83;veneto_5677;veneto_5720;aeronautica_6771
1971;3;27;0;0.1;1;28.6;34.6;0;NA;0;0;0;8;9.4;5;14.6;6.8;25.8;21.3;3.5;5.2;13.9;4.8;9.4;5.6;7.5;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
1971;3;28;0;0;0.2;8.2;18.6;0;NA;0;0;0;46;13;8.8;18;18.4;15;39.7;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
1971;3;29;0;0;0;0;0;0;NA;0;0;0;0;0;0;0.2;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
1971;3;30;0;0;0;0;0;0;NA;0;0;0;0;0;0;3.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
1971;3;31;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
1971;4;1;0;0;1;7.8;7.2;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
1971;4;2;0;1.8;11.8;2.6;0.6;0;NA;0;0;0;24.4;27.6;7;24.2;16.4;22;4;7.2;3.4;10.1;5.8;4.8;3;2.2;0;6.6;0;0;0.5;0;NA;0;NA;0;0;0;0;0;NA;0
1971;4;3;5.4;4;0;0;1.8;0;NA;0;0;0;0;0;0.4;0;0.2;0;0;6.2;1.2;9.8;4;0.4;6.6;0.8;0;0;3.4;0;0.3;0;NA;4.3;NA;0.8;0;0;0;0.2;NA;25.2
1971;4;4;21.4;11.6;23.6;3.6;10.8;0;NA;0;13.3;4.8;7;0.2;2.2;0.4;2;40.5;1;30.4;22.8;11.6;12.4;12.8;56.4;9;58.8;27;33;37.6;6.3;6.4;NA;0;NA;1.1;4;34.6;16.6;5.6;NA;25.6
1971;4;5;19;1;0.8;8.4;3.8;0;NA;4.7;3.2;11.3;6;6.2;0;8;4.6;16;22;105.3;26;13.8;33.4;22.6;54.4;34;40.6;18.4;2.8;10.2;0;13.7;NA;31.4;NA;20;1.6;0.4;0;26.4;NA;30
1971;4;6;0;0;0.2;0;0.6;0;NA;0;0;0;2.2;0;1;1;0;6;3.5;0;0;0;0;0;0;0;0.1;6.8;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
1971;4;7;0.1;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;NA;0;NA;0;0;0.4;0;0;NA;0
1971;4;8;5;0;0;0;0;0;NA;0;0;0;0;0;0;1.8;0;0;0;0;0;0;0;0;1.8;0;0;0;0;1;0;0;NA;0;NA;0;1.4;1.8;1;0;NA;0
1971;4;9;3;0;0;0.2;0.2;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0.2;0;0;NA;0;NA;0;0.2;3.2;11;0;NA;0
1971;4;10;0;0;0;0;0.1;0;NA;0;0;0;0.2;0;0;0;0;23.4;0;0;0;0;0;0;0;0;0;0;0;6.4;0;0;NA;0;NA;0;0;0;0;0;NA;0
1971;4;11;2.2;0;0;0;0;0;NA;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
1971;4;12;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;2.3;0;0;3.4;0.4;0;0;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
1971;4;13;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
1971;4;14;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
1971;4;15;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
1971;4;16;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0.4
1971;4;17;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.4;0;0;0.2;1;0;NA;0;NA;0;0;0;0;0;NA;0.6
1971;4;18;0.6;0;0;0;0;0;NA;9.2;3.6;6.6;0;0;3.8;0;0;6;0;4.9;4.8;0.4;8;4.4;10.4;4.4;1.3;0;5.4;4.6;0;3.2;NA;0;NA;0;4.4;1;0;4.6;NA;0
